x,y,netname
0,0,net10
0,1,net9
0,2,net8
0,3,net7
0,4,net6
0,5,net5
0,6,net4
0,7,net3
1,0,net18
1,1,net17
1,2,net16
1,3,net15
1,4,net14
1,5,net13
1,6,net12
1,7,net11
2,0,net26
2,1,net25
2,2,net24
2,3,net23
2,4,net22
2,5,net21
2,6,net20
2,7,net19
3,0,net34
3,1,net33
3,2,net32
3,3,net31
3,4,net30
3,5,net29
3,6,net28
3,7,net27
4,0,net42
4,1,net41
4,2,net40
4,3,net39
4,4,net38
4,5,net37
4,6,net36
4,7,net35
5,0,net50
5,1,net49
5,2,net48
5,3,net47
5,4,net46
5,5,net45
5,6,net44
5,7,net43
6,0,net58
6,1,net57
6,2,net56
6,3,net55
6,4,net54
6,5,net53
6,6,net52
6,7,net51
7,0,net076
7,1,net075
7,2,net64
7,3,net63
7,4,net62
7,5,net61
7,6,net60
7,7,net59
