/net14 X,/net14 Y,/net076 X,/net076 Y,/net067 X,/net067 Y,/net10 X,/net10 Y,/net9 X,/net9 Y,/net8 X,/net8 Y,/net7 X,/net7 Y,/net6 X,/net6 Y,/net4 X,/net4 Y,/net3 X,/net3 Y,/net18 X,/net18 Y,/net17 X,/net17 Y,/net16 X,/net16 Y,/net15 X,/net15 Y,/net13 X,/net13 Y,/net12 X,/net12 Y,/net11 X,/net11 Y,/net26 X,/net26 Y,/net25 X,/net25 Y,/net24 X,/net24 Y,/net23 X,/net23 Y,/net22 X,/net22 Y,/net21 X,/net21 Y,/net20 X,/net20 Y,/net19 X,/net19 Y,/net34 X,/net34 Y,/net33 X,/net33 Y,/net32 X,/net32 Y,/net31 X,/net31 Y,/net30 X,/net30 Y,/net29 X,/net29 Y,/net28 X,/net28 Y,/net27 X,/net27 Y,/net42 X,/net42 Y,/net41 X,/net41 Y,/net40 X,/net40 Y,/net39 X,/net39 Y,/net38 X,/net38 Y,/net37 X,/net37 Y,/net36 X,/net36 Y,/net35 X,/net35 Y,/net50 X,/net50 Y,/net49 X,/net49 Y,/net48 X,/net48 Y,/net47 X,/net47 Y,/net46 X,/net46 Y,/net45 X,/net45 Y,/net44 X,/net44 Y,/net43 X,/net43 Y,/net58 X,/net58 Y,/net57 X,/net57 Y,/net56 X,/net56 Y,/net55 X,/net55 Y,/net54 X,/net54 Y,/net53 X,/net53 Y,/net52 X,/net52 Y,/net51 X,/net51 Y,/net075 X,/net075 Y,/net64 X,/net64 Y,/net63 X,/net63 Y,/net62 X,/net62 Y,/net61 X,/net61 Y,/net60 X,/net60 Y,/net59 X,/net59 Y
2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,0,2.50E-07,1.199830556,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.31E-06,2.50E-07,1.199830554,2.50E-07,1.199830554,2.50E-07,1.199830557
1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.2,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.199830567,1.25E-06,1.199830567,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.33E-06,1.25E-06,1.33E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.199830567,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.32E-06,1.25E-06,1.199830567,1.25E-06,1.199830567,1.25E-06,1.32E-06
2.25E-06,1.199830626,2.25E-06,1.36E-06,2.25E-06,1.2,2.25E-06,1.199830634,2.25E-06,1.36E-06,2.25E-06,1.199830635,2.25E-06,1.36E-06,2.25E-06,1.199830635,2.25E-06,1.199830635,2.25E-06,1.35E-06,2.25E-06,1.199830635,2.25E-06,1.36E-06,2.25E-06,1.199830626,2.25E-06,1.199830627,2.25E-06,1.199830627,2.25E-06,1.199830626,2.25E-06,1.199830634,2.25E-06,1.37E-06,2.25E-06,1.199830627,2.25E-06,1.199830626,2.25E-06,1.199830626,2.25E-06,1.199830626,2.25E-06,1.199830626,2.25E-06,1.199830626,2.25E-06,1.37E-06,2.25E-06,1.199830635,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.199830626,2.25E-06,1.199830635,2.25E-06,1.199830635,2.25E-06,1.199830626,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.199830627,2.25E-06,1.199830626,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.37E-06,2.25E-06,1.199830626,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.36E-06,2.25E-06,1.199830626,2.25E-06,1.199830635,2.25E-06,1.199830635,2.25E-06,1.36E-06,2.25E-06,1.199830627,2.25E-06,1.199830626,2.25E-06,1.36E-06,2.25E-06,1.199830626,2.25E-06,1.36E-06,2.25E-06,1.37E-06,2.25E-06,1.199830635,2.25E-06,1.199830635,2.25E-06,1.199830634,2.25E-06,1.36E-06,2.25E-06,1.199830634,2.25E-06,1.199830635,2.25E-06,1.199830633
3.25E-06,1.19983056,3.25E-06,1.32E-06,3.25E-06,1.2,3.25E-06,1.199830562,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.32E-06,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.31E-06,3.25E-06,1.19983056,3.25E-06,1.19983056,3.25E-06,1.199830562
4.25E-06,1.19983056,4.25E-06,1.32E-06,4.25E-06,1.2,4.25E-06,1.199830562,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.32E-06,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.31E-06,4.25E-06,1.19983056,4.25E-06,1.19983056,4.25E-06,1.199830562
5.25E-06,1.19983056,5.25E-06,1.32E-06,5.25E-06,1.2,5.25E-06,1.199830562,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.32E-06,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.31E-06,5.25E-06,1.19983056,5.25E-06,1.19983056,5.25E-06,1.199830562
6.25E-06,1.19983056,6.25E-06,1.32E-06,6.25E-06,1.2,6.25E-06,1.199830562,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.32E-06,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.31E-06,6.25E-06,1.19983056,6.25E-06,1.19983056,6.25E-06,1.199830562
7.25E-06,1.19983056,7.25E-06,1.32E-06,7.25E-06,1.2,7.25E-06,1.199830562,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.32E-06,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.31E-06,7.25E-06,1.19983056,7.25E-06,1.19983056,7.25E-06,1.199830562
8.25E-06,1.19983056,8.25E-06,1.32E-06,8.25E-06,1.2,8.25E-06,1.199830562,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.32E-06,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.31E-06,8.25E-06,1.19983056,8.25E-06,1.19983056,8.25E-06,1.199830562
9.25E-06,1.19983056,9.25E-06,1.32E-06,9.25E-06,1.2,9.25E-06,1.199830562,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.32E-06,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.31E-06,9.25E-06,1.19983056,9.25E-06,1.19983056,9.25E-06,1.199830562
